country_code	country	Initials	isSmall	ProjFirstYear	MigCode	WPPAIDS	AgeMortalityType	AgeMortalityPattern	AgeMortProjMethod1	AgeMortProjMethod2	AgeMortProjPattern	AgeMortProjMethodWeights	AgeMortProjAdjSR	LatestAgeMortalityPattern	SmoothLatestAgeMortalityPattern	SmoothDFLatestAgeMortalityPattern	PasfrNorm	PasfrGlobalNorm	ConstantPasfr	PasfrFarEastAsianNorm	PasfrSouthAsianNorm	MigAgeSchedule	MigAgeZeroNeg	MigAgeEqualMFratio	MigFDMb0	MigFDMb1	MigFDMsrin	MigFDMsrout
4	Afghanistan	SH	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	c(1,0.5)	3	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.481377431623572	0.488079186177756
8	Albania	MWVK	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.493588976740048	0.503725859274246
12	Algeria	VK	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.480000882867928	0.491916926122872
16	American Samoa	PG	1	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	c(1,0.85)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.496204674530363	0.490439736909858
20	Andorra	PG	1	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	c(1,0.9)	0	1	0	65	ConstantPasfr	0	1	0	0	0	0	0	0.001	0.5	0.478641935015073	0.501241813477712
24	Angola	SESH	0	1950	9	0	Age specific mortality pattern	HIVmortmod	modPMD	MLT	CD_North	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.495816214450671	0.497902902507649
28	Antigua and Barbuda	PLIW	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	c(1,0.75)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	388	0	1	0.001	0.5	0.517577357139078	0.518507877709955
31	Azerbaijan	VK	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.007	0.5	0.486441456525287	0.490122235007189
32	Argentina	HC	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	1e-05	0.5	0.50604150967005	0.508952808909044
36	Australia	MW	0	1950	9	0	Age specific mortality pattern	CD_North	LC	""	""	""	0	c(-4,5)	1	65	Global Norm	1	0	0	0	0	0	0	0.007	0.5	0.50198276037174	0.492555130748284
40	Austria	MW	0	1950	9	0	Age specific mortality pattern	CD_West	LC	""	""	""	0	c(-4,5)	1	35	Global Norm	1	0	0	0	0	0	0	0.007	0.5	0.502495552912428	0.507220513646977
44	Bahamas	JM	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	c(1,0.75)	3	c(-5,4)	1	65	Global Norm	0	0	0	0	0	0	0	0.007	0.5	0.520831455465561	0.50835428854311
48	Bahrain	SH	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	c(1,0.75)	3	c(-4,5)	0	65	Global Norm	0	0	0	0	0	0	0	0.09	0.5	0.37387923645186	0.416521702874038
50	Bangladesh	SH	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	1	356	0	1	0.001	0.5	0.399306021872179	0.41273597170541
51	Armenia	VK	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.508203091011666	0.477094157956182
52	Barbados	LZ	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.521301237916203	0.519532020528801
56	Belgium	MW	0	1950	9	0	Age specific mortality pattern	CD_West	LC	""	""	""	0	c(-4,5)	1	65	Global Norm	1	0	0	0	0	0	0	0.007	0.5	0.497957977040365	0.50628620778532
60	Bermuda	JM	1	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	c(1,0.85)	3	1	0	65	ConstantPasfr	0	1	0	0	0	0	0	0.001	0.5	0.502292115632292	0.494882450914449
64	Bhutan	YK	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	c(1,0.75)	3	1	0	65	Global Norm	0	0	0	0	0	0	0	0.007	0.5	0.395214474374168	0.414015505265822
68	Bolivia (Plurinational State of)	HC	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	c(1,0.5)	3	1	0	65	Global Norm	0	0	0	0	0	1	0	1e-05	0.5	0.506695288496551	0.507562900590987
70	Bosnia and Herzegovina	MWVK	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	c(1,0.75)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.506339995585145	0.516456133910113
72	Botswana	PG	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_West	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.439220188694384	0.433117933793261
76	Brazil	HC	0	1950	9	0	Age specific mortality pattern	CD_North	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	1e-05	0.5	0.495680242285193	0.51040108409527
84	Belize	SESH	0	1950	9	0	Age specific mortality pattern	HIVmortmod	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.007	0.5	0.493887942179306	0.522019840985358
90	Solomon Islands	LZ	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	c(1,0.5)	3	1	0	65	Global Norm	0	0	0	0	0	0	0	5e-04	0.5	0.457749280330975	0.491395806139105
92	British Virgin Islands	PG	1	1950	9	0	Model life tables	LogQuad	modPMD	MLT	UN_Far_Eastern	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.007	0.5	0.510013709989957	0.496493978366457
96	Brunei Darussalam	PLIW	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_North	c(1,0.75)	3	1	0	65	Global Norm	0	0	0	0	0	0	0	0.007	0.5	0.450552738169653	0.456230082258505
100	Bulgaria	MW	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	c(1,0.75)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.513862425649085	0.525709256733657
104	Myanmar	PLIW	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	c(1,0.5)	0	c(-4,5)	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.445839935092964	0.478246471900961
108	Burundi	IW	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.496907954652678	0.500626761571575
112	Belarus	MWVK	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	c(1,0.9)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.532613033579622	0.521341792982075
116	Cambodia	JM	0	1950	9	0	Model life tables	CD_North	modPMD	MLT	CD_North	c(1,0.75)	3	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.519415040623235	0.488059603386109
120	Cameroon	IW	0	1950	9	1	Model life tables	HIVmortmod	modPMD	MLT	CD_North	c(1,0.5)	3	1	0	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.503238347269056	0.506604851236457
124	Canada	MW	0	1950	9	0	Age specific mortality pattern	CD_West	LC	""	""	""	0	c(-4,5)	1	65	Global Norm	1	0	0	0	0	0	0	0.007	0.5	0.504374995098376	0.516034462427582
132	Cabo Verde	YK	0	1950	9	0	Age specific mortality pattern	HIVmortmod	modPMD	MLT	CD_West	c(1,0.5)	3	c(-4,5)	1	65	Global Norm	0	0	0	0	0	0	0	0.001	0.5	0.519188664538454	0.515032879895284
136	Cayman Islands	PG	1	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	c(1,0.5)	0	1	0	65	Global Norm	0	0	0	0	0	0	0	0.007	0.5	0.484764820061819	0.501019084417654
