"country_code"	"country"	"Initials"	"isSmall"	"ProjFirstYear"	"MigCode"
4	"Afghanistan"	"PG"	0	1950	0
8	"Albania"	"TS"	0	1950	9
12	"Algeria"	"TS"	0	1950	9
16	"American Samoa"	"DG"	1	1950	9
20	"Andorra"	"TS"	1	1950	9
24	"Angola"	"KA"	0	1950	0
28	"Antigua and Barbuda"	"DG"	0	1950	9
31	"Azerbaijan"	"KA"	0	1950	9
32	"Argentina"	"DG"	0	1950	9
36	"Australia"	"KA"	0	1950	9
40	"Austria"	"TS"	0	1950	9
44	"Bahamas"	"LN"	0	1950	9
48	"Bahrain"	"PG"	0	1950	0
50	"Bangladesh"	"PG"	0	1950	0
51	"Armenia"	"KA"	0	1950	9
52	"Barbados"	"LN"	0	1950	9
56	"Belgium"	"TS"	0	1950	0
60	"Bermuda"	"KA"	1	1950	0
64	"Bhutan"	"PG"	0	1950	0
68	"Bolivia (Plurinational State of)"	"DG"	0	1950	0
70	"Bosnia and Herzegovina"	"TS"	0	1950	9
72	"Botswana"	"KA"	0	1950	0
76	"Brazil"	"DG"	0	1950	9
84	"Belize"	"DG"	0	1950	9
90	"Solomon Islands"	"LN"	0	1950	0
92	"British Virgin Islands"	"LN"	1	1950	0
96	"Brunei Darussalam"	"LN"	0	1950	9
100	"Bulgaria"	"KA"	0	1950	9
104	"Myanmar"	"TS"	0	1950	0
108	"Burundi"	"TS"	0	1950	0
112	"Belarus"	"KA"	0	1950	9
116	"Cambodia"	"PG"	0	1950	9
120	"Cameroon"	"TS"	0	1950	0
124	"Canada"	"KA"	0	1950	9
132	"Cape Verde"	"PG"	0	1950	0
136	"Cayman Islands"	"LN"	1	1950	9
140	"Central African Republic"	"DG"	0	1950	0
144	"Sri Lanka"	"PG"	0	1950	0
148	"Chad"	"TS"	0	1950	0
152	"Chile"	"DG"	0	1950	0
156	"China"	"LN"	0	1950	9
158	"China, Taiwan Province of China"	"LN"	0	1950	9
170	"Colombia"	"DG"	0	1950	9
174	"Comoros"	"LN"	0	1950	0
175	"Mayotte"	"LN"	0	1950	0
178	"Congo"	"KA"	0	1950	0
180	"Dem. Rep. of the Congo"	"KA"	0	1950	0
184	"Cook Islands"	"DG"	1	1950	0
188	"Costa Rica"	"DG"	0	1950	0
191	"Croatia"	"TS"	0	1950	9
192	"Cuba"	"DG"	0	1950	9
196	"Cyprus"	"DG"	0	1950	9
203	"Czech Republic"	"TS"	0	1950	9
204	"Benin"	"PG"	0	1950	0
208	"Denmark"	"KA"	0	1950	9
212	"Dominica"	"DG"	1	1950	0
214	"Dominican Republic"	"DG"	0	1950	9
218	"Ecuador"	"DG"	0	1950	0
222	"El Salvador"	"DG"	0	1950	0
226	"Equatorial Guinea"	"DG"	0	1950	0
231	"Ethiopia"	"TS"	0	1950	9
232	"Eritrea"	"TS"	0	1950	9
233	"Estonia"	"KA"	0	1950	9
234	"Faeroe Islands"	"KA"	1	1950	9
238	"Falkland Islands (Malvinas)"	"LN"	1	1950	0
242	"Fiji"	"LN"	0	1950	0
246	"Finland"	"KA"	0	1950	9
250	"France"	"TS"	0	1950	9
254	"French Guiana"	"DG"	0	1950	0
258	"French Polynesia"	"TS"	0	1950	9
262	"Djibouti"	"TS"	0	1950	9
266	"Gabon"	"TS"	0	1950	0
268	"Georgia"	"KA"	0	1950	0
270	"Gambia"	"PG"	0	1950	0
275	"State of Palestine"	"PG"	0	1950	0
276	"Germany"	"TS"	0	1950	9
288	"Ghana"	"PG"	0	1950	0
292	"Gibraltar"	"LN"	1	1950	0
296	"Kiribati"	"LN"	0	1950	0
300	"Greece"	"KA"	0	1950	9
304	"Greenland"	"KA"	1	1950	9
308	"Grenada"	"DG"	0	1950	9
312	"Guadeloupe"	"DG"	0	1950	9
316	"Guam"	"KA"	0	1950	9
320	"Guatemala"	"DG"	0	1950	9
324	"Guinea"	"PG"	0	1950	0
328	"Guyana"	"LN"	0	1950	9
332	"Haiti"	"DG"	0	1950	9
336	"Holy See"	"LN"	1	1950	9
340	"Honduras"	"DG"	0	1950	9
344	"China, Hong Kong SAR"	"LN"	0	1950	9
348	"Hungary"	"TS"	0	1950	9
352	"Iceland"	"KA"	0	1950	9
356	"India"	"PG"	0	1950	0
360	"Indonesia"	"LN"	0	1950	9
364	"Iran (Islamic Republic of)"	"PG"	0	1950	0
368	"Iraq"	"PG"	0	1950	0
372	"Ireland"	"LN"	0	1950	9
376	"Israel"	"PG"	0	1950	0
380	"Italy"	"LN"	0	1950	9
384	"Cote d'Ivoire"	"PG"	0	1950	9
388	"Jamaica"	"DG"	0	1950	9
392	"Japan"	"LN"	0	1950	9
398	"Kazakhstan"	"KA"	0	1950	9
