country_code	country	Initials	isSmall	ProjFirstYear	MigCode	WPPAIDS	AgeMortalityType	AgeMortalityPattern	LatestAgeMortalityPattern	SmoothLatestAgeMortalityPattern	PasfrNorm	PasfrGlobalNorm	PasfrFarEastAsianNorm	PasfrSouthAsianNorm
4	Afghanistan	PG	0	1950	0	0	Relational model	CD_West	1	0	Global Norm	0	0	0
8	Albania	VK	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
12	Algeria	VK	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
16	American Samoa	DG	1	1950	9	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
20	Andorra	TS	1	1950	9	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
24	Angola	FP	0	1950	0	1	Model life tables	CD_North	1	1	Global Norm	0	0	0
660	Anguilla	DG	1	1950	0	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
28	Antigua and Barbuda	DG	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
32	Argentina	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
51	Armenia	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
533	Aruba	DG	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
36	Australia	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
40	Austria	VK	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	1	0	0
31	Azerbaijan	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
44	Bahamas	DG	0	1950	9	0	Model life tables	CD_West	1	1	Global Norm	0	0	0
48	Bahrain	FP	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
50	Bangladesh	PG	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	1
52	Barbados	DG	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
112	Belarus	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	0	1	Global Norm	0	0	0
56	Belgium	TS	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
84	Belize	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
204	Benin	VGT	0	1950	0	0	Model life tables	CD_South	1	0	Global Norm	0	0	0
60	Bermuda	CS	1	1950	0	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
64	Bhutan	PG	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
68	Bolivia (Plurinational State of)	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
70	Bosnia and Herzegovina	VK	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
72	Botswana	KA	0	1950	0	1	Model life tables	CD_West	1	1	Global Norm	0	0	0
76	Brazil	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
92	British Virgin Islands	DG	1	1950	0	0	Model life tables	UN_Far_Eastern	0	0	Global Norm	0	0	0
96	Brunei Darussalam	LN	0	1950	9	0	Relational model	CD_West	1	1	Global Norm	0	0	0
100	Bulgaria	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
854	Burkina Faso	VGT	0	1950	0	1	Model life tables	CD_South	1	0	Global Norm	0	0	0
